LayerName,Min X,Max X,Min Y,Max Y,TimeStart,TimeEnd
AverageChloroColor,-90,90,-180,180,"""2015-01-01T00:00:00+00:00""","""2015-05-01T00:00:00.000Z"""
AverageChloroColorScaled,-90,90,-180,180,"""2002-07-01T00:00:00+00:00""","""2015-05-01T00:00:00.000Z"""
AvgLandTemp,-90,90,-180,180,"""2000-02-01T00:00:00+00:00""","""2015-06-01T00:00:00.000Z"""
AvgTemperatureColor,-90,90,-180,180,"""2000-02-01T00:00:00+00:00""","""2015-07-01T00:00:00.000Z"""
AvgTemperatureColorScaled,-90,90,-180,180,"""2000-02-01T00:00:00+00:00""","""2015-07-01T00:00:00.000Z"""
Bavaria_50_DSM,47.408514562220105,47.5218092,10.9583638,11.07342704094083,NA,NA
BlueMarbleCov,-90,90,-180,180,NA,NA
Germany_DTM,46.9995833333333675899,56.000416666666666,4.999583333333334,16.0004166666666246501,NA,NA
NIR,46.9995833333333675899,56.000416666666666,4.999583333333334,16.0004166666666246501,NA,NA
NN3_1,46.9995833333333675899,56.000416666666666,4.999583333333334,16.0004166666666246501,NA,NA
NN3_2,46.9995833333333675899,56.000416666666666,4.999583333333334,16.0004166666666246501,NA,NA
NN3_3,46.9995833333333675899,56.000416666666666,4.999583333333334,16.0004166666666246501,NA,NA
NN3_4,46.9995833333333675899,56.000416666666666,4.999583333333334,16.0004166666666246501,NA,NA
RadianceColorScaled,-90,90,-180,180,"""2002-07-01T00:00:00+00:00""","""2015-01-01T00:00:00.000Z"""
S2_L2A_32631_B01_60m,45.02771422829705,45.269926091621116,5.158119124176218,5.930716603875572,"""2021-04-07T23:54:58.500Z""","""2021-04-10T00:05:01.500Z"""
S2_L2A_32631_B03_10m,45.0280552797748,45.26991641981715,5.158633444629382,5.931154220239779,"""2021-04-07T23:54:58.500Z""","""2021-04-10T00:05:01.500Z"""
S2_L2A_32631_B04_10m,45.0280552797748,45.26991641981715,5.158633444629382,5.931154220239779,"""2021-04-07T23:54:58.500Z""","""2021-04-10T00:05:01.500Z"""
S2_L2A_32631_B08_10m,45.0280552797748,45.26991641981715,5.158633444629382,5.931154220239779,"""2021-04-07T23:54:58.500Z""","""2021-04-10T00:05:01.500Z"""
S2_L2A_32631_B12_20m,45.028176879141334,45.26991641981715,5.158633444629382,5.931032620873242,"""2021-04-07T23:54:58.500Z""","""2021-04-10T00:05:01.500Z"""
S2_L2A_32631_TCI_60m,45.02771422829705,45.269926091621116,5.158119124176218,5.930716603875572,"""2021-04-07T23:54:58.500Z""","""2021-04-10T00:05:01.500Z"""
S2_federation_demo,47.40830646261630665188,47.5218091713563,10.958363775419501,11.07321894540021177056,NA,NA
Temperature4D,-90,90,-180,180,"""2010-01-01T00:00:00+00:00""","""2010-12-01T00:00:00.000Z"""
climate_cloud,-90,90,-180,180,NA,NA
climate_earth,-90,90,-180,180,NA,NA
land_cover_class__esa_test_6,-89.99861111111112,89.99861111111113,-179.9986111111111,179.99861111111113,"""1998-01-01T00:00:00+00:00""","""1998-01-01T00:00:00+00:00"""
mean_summer_airtemp,-44.524999999999987,-8.974999999999987,111.975,156.27500000000000886,NA,NA
multiband,52.43717625921094,55.023797637106576,4.860752385843076,9.007591934796942,NA,NA
nchc.earthserver.xyz:7000:AER_DLA_DEM_4326_2000_DMC_20010814_20061226,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:AER_DLA_DEM_4326_2000_DMC_20010814_20061226_128,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:AER_DLA_DEM_4326_2000_DMC_20010814_20061226_16,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:AER_DLA_DEM_4326_2000_DMC_20010814_20061226_2,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:AER_DLA_DEM_4326_2000_DMC_20010814_20061226_256,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:AER_DLA_DEM_4326_2000_DMC_20010814_20061226_32,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:AER_DLA_DEM_4326_2000_DMC_20010814_20061226_4,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:AER_DLA_DEM_4326_2000_DMC_20010814_20061226_64,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:AER_DLA_DEM_4326_2000_DMC_20010814_20061226_8,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:AverageChlorophyll_new,-90,90,-180,180,"""2015-01-01T00:00:00+00:00""","""2015-04-01T00:00:00.000Z"""
nchc.earthserver.xyz:7000:AverageTemperature,-90,90,-180,180,"""2012-12-01T20:07:00.500Z""","""2012-12-09T20:47:12.500Z"""
nchc.earthserver.xyz:7000:LANDUSE_50Q_20200101_20210101,15.255360460761308,24.3942974686092,113.10841686370819,121.0380417969275,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_50Q_20200101_20210101_2,15.255360460761308,24.3942974686092,113.10841686370819,121.0380417969275,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_50Q_20200101_20210101_4,15.255360460761308,24.3942974686092,113.10841686370819,121.0380417969275,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_50Q_20200101_20210101_8,15.255360460761308,24.3942974686092,113.10841686370819,121.0380417969275,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_51Q_20200101_20210101,15.234263242093917,24.429611879504513,119.3984138466352,124.36723556052158,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_51Q_20200101_20210101_2,15.234263242093917,24.429611879504513,119.3984138466352,124.36723556052158,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_51Q_20200101_20210101_4,15.234263242093917,24.429611879504513,119.3984138466352,124.36723556052158,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_51Q_20200101_20210101_8,15.234263242093917,24.429611879504513,119.3984138466352,124.36723556052158,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_51R_20200101_20210101,23.30096717104491,32.497124372135914,118.9566932717624,127.36293935762873,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_51R_20200101_20210101_2,23.30096717104491,32.497124372135914,118.9566932717624,127.36293935762873,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_51R_20200101_20210101_4,23.30096717104491,32.497124372135914,118.9566932717624,127.36293935762873,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LANDUSE_51R_20200101_20210101_8,23.30096717104491,32.497124372135914,118.9566932717624,127.36293935762873,"""2021-01-01T00:00:00+00:00""","""2021-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LIDAR_DLA_DEM_4326_2000_Leica_20110101_20161101,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LIDAR_DLA_DEM_4326_2000_Leica_20110101_20161101_128,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LIDAR_DLA_DEM_4326_2000_Leica_20110101_20161101_16,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LIDAR_DLA_DEM_4326_2000_Leica_20110101_20161101_2,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LIDAR_DLA_DEM_4326_2000_Leica_20110101_20161101_256,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LIDAR_DLA_DEM_4326_2000_Leica_20110101_20161101_32,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LIDAR_DLA_DEM_4326_2000_Leica_20110101_20161101_4,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LIDAR_DLA_DEM_4326_2000_Leica_20110101_20161101_64,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:LIDAR_DLA_DEM_4326_2000_Leica_20110101_20161101_8,21.86985528697094303132,25.386697369911044,119.98944603164368,122.02460188609852358668,"""2001-08-14T00:00:00+00:00""","""2001-08-14T00:00:00+00:00"""
nchc.earthserver.xyz:7000:MSMlvltest,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-01T23:00:00+00:00"""
nchc.earthserver.xyz:7000:MSMlvltest_2,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-01T23:00:00+00:00"""
nchc.earthserver.xyz:7000:MSMlvltest_4,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-01T23:00:00+00:00"""
nchc.earthserver.xyz:7000:TW_DLA_20010814_20061226_20M_3826_DEM,21.870009093943565,25.480202031318886,120.01605576993393,122.17664463133534,"""2022-06-22T00:00:00+00:00""","""2022-06-22T00:00:00+00:00"""
nchc.earthserver.xyz:7000:TW_DLA_20100101_20191101_20M_3826_DEM,21.894001859335894,25.323297954309062,120.04163169146084,122.20154183571374,"""2010-01-01T00:00:00+00:00""","""2010-01-01T00:00:00+00:00"""
nchc.earthserver.xyz:7000:TW_DLA_20110101_20161101_20M_3826_DEM,21.894001859335894,25.323297954309062,120.04163169146084,122.20154183571374,"""2022-06-22T00:00:00+00:00""","""2022-06-22T00:00:00+00:00"""
nchc.earthserver.xyz:7000:m_msm_lvl_2021,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-05T23:00:00.000Z"""
nchc.earthserver.xyz:7000:m_msm_lvl_2021_2,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-05T23:00:00.000Z"""
nchc.earthserver.xyz:7000:m_msm_lvl_2021_4,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-05T23:00:00.000Z"""
nchc.earthserver.xyz:7000:m_msm_sfc_2021,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-12-31T23:00:00.000Z"""
nchc.earthserver.xyz:7000:m_msm_sfc_2021_2,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-12-31T23:00:00.000Z"""
nchc.earthserver.xyz:7000:m_msm_sfc_2021_4,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-12-31T23:00:00.000Z"""
nchc.earthserver.xyz:7000:mean_summer_airtemp,-44.524999999999987,-8.974999999999987,111.975,156.27500000000000886,NA,NA
nchc.earthserver.xyz:7000:sample,24.054550368757962,24.05635714792367,120.44550630359484,120.44576402712828,"""2018-11-23T00:00:00+00:00""","""2018-11-23T00:00:00+00:00"""
nchc.earthserver.xyz:7000:sfc_allp,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-04T23:00:00.000Z"""
nchc.earthserver.xyz:7000:sfc_allp_2,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-04T23:00:00.000Z"""
nchc.earthserver.xyz:7000:sfc_allp_4,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-04T23:00:00.000Z"""
nchc.earthserver.xyz:7000:sfc_test1,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-01T23:00:00+00:00"""
nchc.earthserver.xyz:7000:sfc_test1_2,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-01T23:00:00+00:00"""
nchc.earthserver.xyz:7000:sfc_test1_4,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-01-01T23:00:00+00:00"""
nchc.earthserver.xyz:7000:sfc_test_4,21.03979943527135416666666667,26.22693945632864583333333333,117.877476526625,123.542147801975,"""2021-01-01T00:00:00+00:00""","""2021-05-23T23:00:00.000Z"""
nchc.earthserver.xyz:7000:taiwan_air_quality_monitoring_data,21.89267338417764,25.42469918431723,120.00827716744473,122.01121981877111,"""2021-01-01T00:00:00+00:00""","""2021-10-01T00:00:00.000Z"""
